sent_id,gap_idx,left,right,gap_score,label
s33,0,и,не,2.1611806459627108,0
s33,1,не,пребудет,4.438496069728835,0
s33,2,пребудет,в,4.282413868623349,0
s33,3,в,стех,7.3229072756818905,0
s33,4,стех,скорби,7.131626620360878,0
s33,5,скорби,твоеа,4.741757202067762,0
s340,0,и,не,2.1611806459627108,0
s340,1,не,накладаи,7.474927716026636,0
s340,2,накладаи,на,7.270813127528979,0
s340,3,на,огнь,4.876979615491347,0
s340,4,огнь,его,7.191132119495938,0
s340,5,его,дровъ,7.187070358735199,0
s242,0,не,можетъ,7.474927716026636,0
s242,1,можетъ,ꙗрость,7.111512116496157,0
s242,2,ꙗрость,неправ,7.119602907921777,0
s242,3,неправ,да,7.184529991334858,0
s242,4,да,оправ,7.180500960669977,0
s242,5,оправ,дити,7.115573877256896,0
s242,6,дити,сѧ,7.332137100355152,0
s138,0,и,не,2.1611806459627108,0
s138,1,не,приимет,7.474927716026636,0
s138,2,приимет,лица,7.13540201064686,0
s138,3,лица,о,7.18946697246415,0
s138,4,о,ꙋбоѕѣм,7.165577078313446,0
s47,0,и,введи,7.599883421809293,0
s47,1,введи,ноѕѣ,7.111512116496157,0
s47,2,ноѕѣ,свои,7.111512116496157,0
s47,3,свои,в,7.3188455149211515,0
s47,4,в,пута,7.3229072756818905,0
s47,5,пута,еѧ,7.12766149252289,0
s451,0,се,книги,4.729766219724519,0
s451,1,книги,ꙁавѣта,4.721740365219265,0
s451,2,ꙁавѣта,бга,7.123664668682517,0
s451,3,бга,вы,7.131690523187771,0
s451,4,вы,шнѧго,7.12359973176215,0
s233,0,корень,пре,7.111512116496157,0
s233,1,пре,мꙋдрости,7.111512116496157,0
s233,2,мꙋдрости,комꙋ,7.111512116496157,0
s233,3,комꙋ,л,7.119602907921777,0
s233,4,л,сѧ,7.340227891780772,0
s296,0,ꙁаповѣди,бо,7.184529991334858,0
s296,1,бо,ꙁла,7.184529991334858,0
s296,2,ꙁла,та,7.123664668682517,0
s296,3,та,есть,7.154778904381722,0
s296,4,есть,на,7.310018154653804,0
s296,5,на,неи,4.892904528434897,0
s404,0,чадо,грѣшныхъ,7.135560550961186,0
s404,1,грѣшныхъ,наслѣдїе,7.115573877256896,0
s404,2,наслѣдїе,погибнетъ,7.111512116496157,0
s404,3,погибнетъ,и,7.599883421809293,0
s404,4,и,с,4.008695235132282,0
s404,5,с,сѣменемъ,7.233895996523453,0
s404,6,сѣменемъ,ихъ,7.150717143620982,0
s404,7,ихъ,бꙋдетъ,7.158807935046603,0
s404,8,бꙋдетъ,поношенїе,7.119602907921777,0
s304,0,и,притча,7.599883421809293,0
s304,1,притча,раꙁѹма,7.111512116496157,0
s304,2,раꙁѹма,не,7.474927716026636,0
s304,3,не,ѹбежитъ,7.474927716026636,0
s304,4,ѹбежитъ,тебе,7.13540201064686,0
s179,0,нѣс,бо,7.184529991334858,0
s179,1,бо,ти,7.248478778787991,0
s179,2,ти,слав,7.195639310640905,0
s179,3,слав,к,7.14358640546644,0
s179,4,к,бещесю,7.131498790200446,0
s355,0,волшениѧ,и,7.599883421809293,0
s355,1,и,чаро,7.599883421809293,0
s355,2,чаро,ваниѧ,7.111512116496157,0
s355,3,ваниѧ,сꙋть,7.119602907921777,0
s355,4,сꙋть,естества,7.119602907921777,0
s174,0,b,и,7.599883421809293,0
s174,1,и,ꙗк,4.579250878236575,0
s174,2,ꙗк,влдка,7.1394637714076,0
s174,3,влдка,мтри,4.721740365219265,0
s174,4,мтри,поработает,7.115573877256896,0
s399,0,срдце,свое,4.741694308827697,0
s399,1,свое,даждь,7.131498790200446,0
s399,2,даждь,ѹтреневати,7.111512116496157,0
s399,3,ѹтреневати,ко,7.119602907921777,0
s399,4,ко,гꙋ,4.7257693958841465,0
s399,5,гꙋ,сотворшемꙋ,7.115573877256896,0
s399,6,сотворшемꙋ,тѧ,7.12359973176215,0
s293,0,на,послѣдокъ,7.270813127528979,0
s293,1,послѣдокъ,бо,7.176439199909238,0
s293,2,бо,обрѧщеши,7.180500960669977,0
s293,3,обрѧщеши,покои,7.119635638017636,0
s293,4,покои,еѧ,7.12766149252289,0
s431,0,и,бо,7.664810505222374,0
s431,1,бо,лѧринꙋ,7.176439199909238,0
s431,2,лѧринꙋ,смирѧи,7.111512116496157,0
s431,3,смирѧи,главꙋ,7.111512116496157,0
s431,4,главꙋ,свою,7.143118213166266,0
s39,0,и,ѿ,3.6208813883927817,0
s39,1,ѿ,враг,7.247445708013695,0
s39,2,враг,твоих,7.115573877256896,0
s39,3,твоих,ѿлучит,7.111512116496157,0
s39,4,ѿлучит,сѧ,7.332137100355152,0
s342,0,не,радꙋи,7.474927716026636,0
s342,1,радꙋи,сѧ,7.332137100355152,0
s342,2,сѧ,о,3.6726299954681334,0
s342,3,о,ѹмер,7.165577078313446,0
s342,4,ѹмер,шихъ,7.111512116496157,0
s20,0,и,в,2.932019497033137,0
s20,1,в,недуѕѣ,7.3188455149211515,0
s20,2,недуѕѣ,своем,7.115573877256896,0
s20,3,своем,не,7.478989476787376,0
s20,4,не,преꙁри,4.438496069728835,0
s215,0,видите,ꙗк,7.13540201064686,0
s215,1,ꙗк,не,7.4988176101773405,0
s215,2,не,себѣ,5.093085186332249,0
s215,3,себѣ,единому,7.127564859600139,0
s215,4,единому,трудих,7.111512116496157,0
s215,5,трудих,сѧ,7.332137100355152,0
s250,0,то,ѹ,7.1779560356022305,0
s250,1,ѹ,готови,7.127564859600139,0
s250,2,готови,дшꙋ,7.119602907921777,0
s250,3,дшꙋ,свою,4.106686566868465,0
s250,4,свою,в,4.95255633879289,0
s250,5,в,напа,4.92501200288352,0
s250,6,напа,сти,7.119635638017636,0
s468,0,и,держѧи,5.206049909771663,0
s468,1,держѧи,его,7.191132119495938,0
s468,2,его,комꙋ,7.187070358735199,0
s468,3,комꙋ,ѹподобитъ,7.111512116496157,0
s468,4,ѹподобитъ,сѧ,7.332137100355152,0
s384,0,да,и,5.266915232424004,0
s384,1,и,ѹтвер,7.603945182570033,0
s384,2,ѹтвер,дит,7.115573877256896,0
s384,3,дит,сѧ,7.332137100355152,0
s384,4,сѧ,блгаѧ,7.332137100355152,0
s384,5,блгаѧ,его,7.187070358735199,0
s84,0,ни,бра,7.154778904381722,0
s84,1,бра,та,7.119635638017636,0
s84,2,та,приснаг,7.115573877256896,0
s84,3,приснаг,ꙁлата,7.127564859600139,0
s84,4,ꙁлата,ради,4.7496562605060575,0
s84,5,ради,и,7.619870095513583,0
s84,6,и,камена,7.599883421809293,0
s84,7,камена,драгаг,7.115573877256896,0
s428,0,дша,алчюща,7.13540201064686,0
s428,1,алчюща,не,7.474927716026636,0
s428,2,не,скорби,7.490980459130618,0
s428,3,скорби,и,7.6159361649132755,0
s428,4,и,не,2.1611806459627108,0
s428,5,не,раꙁ,7.474927716026636,0
s428,6,раꙁ,гнѣваи,7.111512116496157,0
s428,7,гнѣваи,мꙋжа,7.111512116496157,0
s428,8,мꙋжа,в,7.3188455149211515,0
s428,9,в,нищетѣ,4.92501200288352,0
s428,10,нищетѣ,его,7.191132119495938,0
s262,0,гортань,сладокъ,7.111512116496157,0
s262,1,сладокъ,ѹмножитъ,7.111512116496157,0
s262,2,ѹмножитъ,дрꙋгий,7.111512116496157,0
s262,3,дрꙋгий,ꙗꙁык,7.111512116496157,0
s262,4,ꙗꙁык,доброгливъ,7.111512116496157,0
s262,5,доброгливъ,ѹмъножитъ,7.111512116496157,0
s262,6,ѹмъножитъ,до,7.143118213166266,0
s262,7,до,брꙋ,7.143118213166266,0
s262,8,брꙋ,бесѣдꙋ,7.111512116496157,0
s425,0,чадо,лѣта,7.131498790200446,0
s425,1,лѣта,своѧ,7.139274996704188,0
s425,2,своѧ,с,4.863763603933114,0
s425,3,с,кротѡ,7.233895996523453,0
s425,4,кротѡ,стию,7.111512116496157,0
s425,5,стию,препровождаи,7.111512116496157,0
s464,0,члкъ,иже,7.14358640546644,0
s464,1,иже,живетъ,7.131498790200446,0
s464,2,живетъ,съ,7.131498790200446,0
s464,3,съ,женою,4.737665278162815,0
s464,4,женою,раꙁꙋмивою,7.115573877256896,0
s311,0,и,паче,7.607974213234915,0
s311,1,паче,црѧ,7.123664668682517,0
s311,2,црѧ,не,7.478989476787376,0
s311,3,не,премꙋдрꙋи,7.474927716026636,0
s311,4,премꙋдрꙋи,сѧ,7.332137100355152,0
s147,0,сотворил,єс,7.123664668682517,0
s147,1,єс,дивнаѧ,7.119635638017636,0
s147,2,дивнаѧ,в,4.92501200288352,0
s147,3,в,людех,4.929041033548401,0
s147,4,людех,своих,7.1512090045918875,0
s229,0,премꙋдрости,га,7.165577078313446,0
s229,1,га,сна,7.177664693579439,0
s229,2,сна,сирахѡва,7.12359973176215,0
s229,3,сирахѡва,глва,7.12359973176215,0
s229,4,глва,кд,7.12359973176215,0
s373,0,не,приближаи,7.474927716026636,0
s373,1,приближаи,сѧ,7.332137100355152,0
